time,actual_load,predicted_load_histgb,error_histgb
2018-11-29 07:00:00+00:00,35313.0,35559.39519649051,-246.39519649051363
2018-11-29 08:00:00+00:00,35610.0,35696.097314032915,-86.09731403291516
2018-11-29 09:00:00+00:00,35408.0,35472.06372525235,-64.06372525235201
2018-11-29 10:00:00+00:00,35051.0,35094.642637585865,-43.64263758586458
2018-11-29 11:00:00+00:00,34845.0,34449.59023547707,395.4097645229267
2018-11-29 12:00:00+00:00,33839.0,33847.94179674784,-8.941796747836634
2018-11-29 13:00:00+00:00,33492.0,33244.295336188545,247.70466381145525
2018-11-29 14:00:00+00:00,33408.0,33617.44572783113,-209.44572783113108
2018-11-29 15:00:00+00:00,34319.0,33981.20916286261,337.7908371373924
2018-11-29 16:00:00+00:00,36124.0,35719.23026012341,404.7697398765886
2018-11-29 17:00:00+00:00,36702.0,36780.9761355124,-78.9761355123992
2018-11-29 18:00:00+00:00,36813.0,36670.153210167635,142.84678983236518
2018-11-29 19:00:00+00:00,35670.0,35777.267202628966,-107.2672026289656
2018-11-29 20:00:00+00:00,33192.0,33023.58755120646,168.41244879354053
2018-11-29 21:00:00+00:00,30066.0,30259.16031625945,-193.16031625945106
2018-11-29 22:00:00+00:00,27784.0,27437.10769044544,346.8923095545615
2018-11-29 23:00:00+00:00,25822.0,25792.725996660993,29.274003339007322
2018-11-30 00:00:00+00:00,24592.0,24563.781622368555,28.218377631445037
2018-11-30 01:00:00+00:00,24171.0,24043.50869862321,127.49130137679094
2018-11-30 02:00:00+00:00,23913.0,23929.808584652354,-16.808584652353602
2018-11-30 03:00:00+00:00,24607.0,24875.95452540029,-268.95452540029146
2018-11-30 04:00:00+00:00,27155.0,27072.9790140019,82.02098599810051
2018-11-30 05:00:00+00:00,31675.0,31162.944652028124,512.0553479718765
2018-11-30 06:00:00+00:00,34165.0,34487.3698190024,-322.3698190024006
2018-11-30 07:00:00+00:00,35012.0,35241.90834162599,-229.90834162598912
2018-11-30 08:00:00+00:00,35600.0,35391.34068281739,208.6593171826098
2018-11-30 09:00:00+00:00,35376.0,35590.16910733107,-214.16910733107215
